"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2020-03-31,274772,"Northeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",0,329941,-0.000020568585411335,,,,,"2019-11","2019-Q4",333252,-0.00993542424351542,"2019-08"
2020-03-31,112345,"Maryvale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",1,196924,0.00012055144024392,,,,,"2020-03","2020-Q1",196924,0,"2020-03"
2020-03-31,192689,"Paradise","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",2,273743,0.0000850294856354594,,,,,"2006-07","2006-Q3",316750,-0.135775848460931,"2005-01"
2020-03-31,270958,"Upper West Side","NY","New York-Newark-Jersey City","New York County","New York",3,1198062,-0.00011351543944329,,,,,"2018-10","2018-Q4",1330359,-0.0994445860102424,"2015-10"
2020-03-31,270957,"Upper East Side","NY","New York-Newark-Jersey City","New York County","New York",4,957350,-0.0000922317958126465,,,,,"2018-06","2018-Q2",1013824,-0.0557039486143552,"2017-10"
2020-03-31,192820,"Sunrise Manor","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",5,237201,0.0000893398917590578,,,,,"2020-03","2020-Q1",237201,0,"2020-03"
2020-03-31,192796,"Spring Valley","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",6,294295,0.0000733648023257653,,,,,"2006-07","2006-Q3",338728,-0.131176046857656,"2004-12"
2020-03-31,194430,"East New York","NY","New York-Newark-Jersey City","Kings County","New York",7,509774,0.0000969229235003392,,,,,"2020-03","2020-Q1",509774,0,"2020-03"
2020-03-31,112547,"Paradise Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",8,365099,0.000090387052235504,,,,,"2020-03","2020-Q1",365099,0,"2020-03"
2020-03-31,198687,"Washington Heights","NY","New York-Newark-Jersey City","New York County","New York",9,535394,-0.0000869135496517022,,,,,"2018-10","2018-Q4",594694,-0.0997151476221384,"2015-12"
2020-03-31,111818,"Deer Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",10,275534,0.0000900053326040506,,,,,"2006-05","2006-Q2",284059,-0.0300113708771769,"2005-12"
2020-03-31,267955,"North Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",11,236445,0.0000814202427864075,,,,,"2006-06","2006-Q2",241219,-0.0197911441470199,"2006-01"
2020-03-31,272816,"Astoria","NY","New York-Newark-Jersey City","Queens County","New York",12,648271,-0.0000128145132718297,,,,,"2019-03","2019-Q1",650376,-0.00323658929603798,"2019-02"
2020-03-31,273698,"Far North","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",13,385456,0.00000977142262854613,,,,,"2019-11","2019-Q4",386487,-0.00266761883323372,"2019-09"
2020-03-31,272902,"Bedford Stuyvesant","NY","New York-Newark-Jersey City","Kings County","New York",14,1004967,0.0000464575072207178,,,,,"2020-03","2020-Q1",1004967,0,"2020-03"
2020-03-31,199001,"Williamsburg","NY","New York-Newark-Jersey City","Kings County","New York",15,895526,0.0000375075828439246,,,,,"2019-05","2019-Q2",907637,-0.0133434401638541,"2018-12"
2020-03-31,267908,"Camelback East","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",16,374882,0.0000843725462133686,,,,,"2020-03","2020-Q1",374882,0,"2020-03"
2020-03-31,194737,"Flatbush","NY","New York-Newark-Jersey City","Kings County","New York",17,590906,-0.000117471124976873,,,,,"2019-04","2019-Q2",622760,-0.0511497205986255,"2018-12"
2020-03-31,275473,"Southeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",18,148886,0.0000718049410109719,,,,,"2020-03","2020-Q1",148886,0,"2020-03"
2020-03-31,272734,"Alhambra","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",19,214724,0.0000988493269930283,,,,,"2020-03","2020-Q1",214724,0,"2020-03"
2020-03-31,403222,"Crown Heights","NY","New York-Newark-Jersey City","Kings County","New York",20,863784,-0.0000079282959147046,,,,,"2018-12","2018-Q4",897785,-0.0378720963259578,"2017-12"
2020-03-31,25294,"Jamaica","NY","New York-Newark-Jersey City","Queens County","New York",21,494808,0.0000054045591969043,,,,,"2019-05","2019-Q2",496959,-0.00432832487187072,"2019-02"
